grapheme,gold,pred,accuracy
toine toizen,ˈtoi̯nʲe ˌtoi̯zen,ˈtoi̯nʲeˌtoi̯nʲen,18.0
talvi,ˈtɑlʋi,ˈtɑlʋi,0.0
tammikuu,ˈtamːiˌkuː,ˈtamːiˌkuː,0.0
tammi,ˈtɑmːi,ˈtɑmːi,0.0
tuhat,ˈtuhɑt,ˈtuhɑt,0.0
tuli,ˈtuli,ˈtuli,0.0
tuiskukuu,ˈtui̯skuˌkuː,ˈtui̯skuˌkuː,0.0
tuukkaja,ˈtuːkːɑjɑ,ˈtuːkːɑjɑ,0.0
tuaš,ˈtuɑ̯ʃ,ˈtuɑ̯ʃ,0.0
täh,ˈtʲæh,ˈtʲæh,0.0
tämmöni,ˈtæmːønʲi,ˈtæmːønʲi,0.0
ukko,ˈukːo,ˈukːo,0.0
tyttö,ˈtʲytʲːø,ˈtʲytʲːø,0.0
uni,ˈunʲi,ˈunʲi,0.0
tähti,ˈtʲæhtʲi,ˈtʲæhtʲi,0.0
tuukkajahaukka,ˈtuːkːɑjɑˌhɑu̯kːɑ,ˈtuːkːɑjɑˌhɑu̯kːɑ,0.0
tuuli,ˈtuːlʲi,ˈtuːlʲi,0.0
työ,ˈtʲyø̯,ˈtʲyø̯,0.0
valehuš,ˈʋɑlehuʃ,ˈʋɑlehuʃ,0.0
vanha,ˈʋɑnhɑ,ˈʋɑnhɑ,0.0
valehtua,ˈʋɑlehtuɑ̯,ˈʋɑlehtuɑ̯,0.0
valo,ˈʋɑlo,ˈʋɑlo,0.0
valeh,ˈʋɑleh,ˈʋɑleh,0.0
vanhempi,ˈʋɑnhempi,ˈʋɑnhempi,0.0
venäjä,ˈʋenʲæjæ,ˈʋenʲæjæ,0.0
vavarno,ˈʋɑʋɑrno,ˈʋɑʋɑrno,0.0
vesi,ˈʋesʲi,ˈʋesʲi,0.0
vieraš,ˈʋie̯rɑʃ,ˈʋie̯rɑʃ,0.0
verko,ˈʋerko,ˈʋerko,0.0
viessata,ˈʋie̯sːɑtɑ,ˈʋie̯sːɑtɑ,0.0
vereš,ˈʋereʃ,ˈʋereʃ,0.0
virši,ˈʋirʃi,ˈʋirʃi,0.0
vintofka,ˈʋintofkɑ,ˈʋintofkɑ,0.0
vihmakuu,ˈʋihmɑˌkuː,ˈʋihmɑˌkuː,0.0
virži,ˈʋirʒi,ˈʋirʒi,0.0
vuozi,ˈʋuo̯zʲi,ˈʋuo̯zʲi,0.0
viärä,ˈʋiæ̯ræ,ˈʋiæ̯ræ,0.0
värči,ˈʋært͡ʃi,ˈʋært͡ʃi,0.0
väkövä,ˈʋækøʋæ,ˈʋækøʋæ,0.0
yhekšän,ˈyhekʃæn,ˈyhekʃæn,0.0
yksi,ˈyksʲi,ˈyksi,17.0
vozduha,ˈʋozduhɑ,ˈʋozduhɑ,0.0
yksitoista,ˈyksʲiˌtoi̯stɑ,ˈyksʲiˌtoi̯stɑ,0.0
yö,ˈyø̯,ˈyø̯,0.0
äkevyš,ˈækeʋyʃ,ˈækeʋyʃ,0.0
ägie,ˈæɡie̯,ˈæɡie̯,0.0
äijä,ˈæi̯jæ,ˈæi̯jæ,0.0
äijän,ˈæi̯jæn,ˈæi̯jæn,0.0
äijäpäivä,ˈæi̯jæˌpæi̯ʋæ,ˈæi̯jæˌpæi̯ʋæ,0.0
ämmä,ˈæmːæ,ˈæmːæ,0.0
äkie,ˈækie̯,ˈækie̯,0.0
ämmö,ˈæmːø,ˈæmːø,0.0
hoppu,ˈhopːu,ˈhopːu,0.0
homeh,ˈhomeh,ˈhomeh,0.0
hiän,ˈhiæ̯n,ˈhiæ̯n,0.0
honka,ˈhoŋkɑ,ˈhoŋkɑ,0.0
huuli,ˈhuːlʲi,ˈhuːlʲi,0.0
hukankorenda,ˈhukɑŋˌkorendɑ,ˈhukɑŋˌkorendɑ,0.0
hospodi,ˈhospodʲi,ˈhospodʲi,0.0
huukkaja,ˈhuːkːɑjɑ,ˈhuːkːɑjɑ,0.0
honga,ˈhoŋɡɑ,ˈhoŋɡɑ,0.0
hyybie,ˈhyːbie̯,ˈhyːbie̯,0.0
hyppy,ˈhypːy,ˈhypːy,0.0
iččeni,ˈit͡ʃːenʲi,ˈit͡ʃːenʲi,0.0
härkä,ˈhærkæ,ˈhærkæ,0.0
höyli,ˈhøy̯lʲi,ˈhøy̯lʲi,0.0
iččeš,ˈit͡ʃːeʃ,ˈit͡ʃːeʃ,0.0
iče,ˈit͡ʃe,ˈit͡ʃe,0.0
ijunʹa,ˈijunʲɑ,ˈijunʲɑ,0.0
ilveyš,ˈilʋey̯ʃ,ˈilʋey̯ʃ,0.0
ilda,ˈildɑ,ˈildɑ,0.0
imadra,ˈimɑdrɑ,ˈimɑdrɑ,0.0
janvari,ˈjɑnʋɑrʲi,ˈjɑnʋɑri,11.0
istuo,ˈistuo̯,ˈistuo̯,0.0
itikkä,ˈitʲikːæ,ˈitʲikːæ,0.0
ižä,ˈiʒæ,ˈiʒæ,0.0
jauhuo,ˈjɑu̯huo̯,ˈjɑu̯huo̯,0.0
jogo,ˈjoɡo,ˈjoɡo,0.0
jevrei,ˈjeʋrei̯,ˈjeʋrei̯,0.0
juuri,ˈjuːri,ˈjuːri,0.0
jälgi,ˈjælʲɡi,ˈjælʲɡi,0.0
jänisʹ,ˈjænʲisʲ,ˈjænʲisʲ,0.0
jälki,ˈjælʲki,ˈjælʲki,0.0
kahekšan,ˈkɑhekʃɑn,ˈkɑhekʃɑn,0.0
kahvi,ˈkɑhʋi,ˈkɑhʋi,0.0
kainalo,ˈkɑi̯nɑlo,ˈkɑi̯nɑlo,0.0
kaivua,ˈkɑi̯ʋuɑ̯,ˈkɑi̯ʋuɑ̯,0.0
kangaš,ˈkɑŋɡɑʃ,ˈkɑŋɡɑʃ,0.0
kaklapaikka,ˈkɑklɑˌpɑi̯kːɑ,ˈkɑklɑˌpɑi̯kːɑ,0.0
kakla,ˈkɑklɑ,ˈkɑklɑ,0.0
kanda,ˈkɑndɑ,ˈkɑndɑ,0.0
kani,ˈkɑnʲi,ˈkɑnʲi,0.0
kannanlakši,ˈkɑnːɑnˌlɑkʃi,ˈkɑnːɑnˌlɑkʃi,0.0
kanši,ˈkɑnʃi,ˈkɑnʃi,0.0
kankaš,ˈkɑŋkɑʃ,ˈkɑŋkɑʃ,0.0
karhu,ˈkɑrhu,ˈkɑrhu,0.0
kasi,ˈkɑsʲi,ˈkɑsʲi,0.0
keli,ˈkelʲi,ˈkelʲi,0.0
kartouhka,ˈkɑrtou̯hkɑ,ˈkɑrtou̯hkɑ,0.0
karjalaini,ˈkɑrjɑˌlɑi̯nʲi,ˈkɑrjɑˌlɑi̯nʲi,0.0
keški-ikäni,ˈkeʃkiˌikænʲi,ˈkeʃkiˌikænʲi,0.0
kerppu,ˈkerpːu,ˈkerpːu,0.0
keškiigäne,ˈkeʃkiˌiɡænʲe,ˈkeʃkiˌiɡænʲe,0.0
keltani,ˈkeltɑnʲi,ˈkeltɑnʲi,0.0
kežäkuu,ˈkeʒæˌkuː,ˈkeʒæˌkuː,0.0
kirikkö,ˈkirikːø,ˈkirikːø,0.0
kevätkuu,ˈkeʋætˌkuː,ˈkeʋætˌkuː,0.0
keviä,ˈkeʋiæ̯,ˈkeʋiæ̯,0.0
kieli,ˈkie̯lʲi,ˈkie̯lʲi,0.0
keviäkuu,ˈkeʋiæ̯ˌkuː,ˈkeʋiæ̯ˌkuː,0.0
kiukua,ˈkiu̯kuɑ̯,ˈkiu̯kuɑ̯,0.0
kišša,ˈkiʃːɑ,ˈkiʃʃɑ,17.0
kodi,ˈkodʲi,ˈkodʲi,0.0
kniiga,ˈknʲiːɡɑ,ˈknʲiːɡɑ,0.0
koira,ˈkoi̯rɑ,ˈkoi̯rɑ,0.0
koivu,ˈkoi̯ʋu,ˈkoi̯ʋu,0.0
kniika,ˈknʲiːkɑ,ˈknʲiːkɑ,0.0
kofei,ˈkofei̯,ˈkofei,14.000000000000002
korkie,ˈkorkie̯,ˈkorkie̯,0.0
korpi,ˈkorpi,ˈkorpi,0.0
korvašieni,ˈkorʋɑˌʃie̯nʲi,ˈkorʋɑˌʃie̯nʲi,0.0
kokka,ˈkokːɑ,ˈkokːɑ,0.0
konža,ˈkonʒɑ,ˈkonʒɑ,0.0
kolmaš,ˈkolmɑʃ,ˈkolmɑʃ,0.0
koški,ˈkoʃki,ˈkoʃki,0.0
kukka,ˈkukːɑ,ˈkukːɑ,0.0
kumbane,ˈkumbɑnʲe,ˈkumbɑnʲe,0.0
kravatti,ˈkrɑʋɑtʲːi,ˈkrɑʋɑtʲːi,0.0
krečču,ˈkret͡ʃːu,ˈkret͡ʃːu,0.0
kulkkulaki,ˈkulkːuˌlɑki,ˈkulkːuˌlɑki,0.0
kumpani,ˈkumpɑnʲi,ˈkumpɑnʲi,0.0
kumpi,ˈkumpi,ˈkumpi,0.0
kylvö,ˈkylʲʋø,ˈkylʲʋø,0.0
kuva,ˈkuʋɑ,ˈkuʋɑ,0.0
kuuši,ˈkuːʃi,ˈkuːʃi,0.0
kylä,ˈkylʲæ,ˈkylʲæ,0.0
kynkä,ˈkyŋkæ,ˈkyŋkæ,0.0
käsi,ˈkæsʲi,ˈkæsʲi,0.0
kärgi,ˈkærɡi,ˈkærɡi,0.0
kymmenen,ˈkymːenen,ˈkymːenen,0.0
käzi,ˈkæzʲi,ˈkæzʲi,0.0
käyvvä,ˈkæy̯ʋːæ,ˈkæy̯ʋʋæ,12.0
lapši,ˈlɑpʃi,ˈlɑpʃi,0.0
lambi,ˈlɑmbi,ˈlɑmbi,0.0
linna,ˈlʲinːɑ,ˈlʲinːɑ,0.0
leppä,ˈlʲepːæ,ˈlʲepːæ,0.0
lika,ˈlʲikɑ,ˈlʲikɑ,0.0
laukku,ˈlɑu̯kːu,ˈlɑu̯kːu,0.0
liäšö,ˈliæ̯ʃø,ˈliæ̯ʃø,0.0
lintu,ˈlʲintu,ˈlʲintu,0.0
louhi,ˈlou̯hi,ˈlou̯hi,0.0
lypšyä,ˈlʲypʃyæ̯,ˈlʲypʃyæ̯,0.0
lutikka,ˈlutʲikːɑ,ˈlutʲikːɑ,0.0
lumi,ˈlumi,ˈlumi,0.0
lʹolʹlʹo,ˈlʲolʲːo,ˈlʲolʲːo,0.0
maito,ˈmɑi̯to,ˈmɑi̯to,0.0
manšikka,ˈmɑnʃikːɑ,ˈmɑnʃikːɑ,0.0
meččä,ˈmet͡ʃːæ,ˈmet͡ʃːæ,0.0
meri,ˈmeri,ˈmerʲi,20.0
marta,ˈmɑrtɑ,ˈmɑrtɑ,0.0
mozgu,ˈmozɡu,ˈmozɡu,0.0
muailma,ˈmuɑ̯ˌilmɑ,ˈmuɑ̯ˌilmɑ,0.0
mozgut,ˈmozɡut,ˈmozɡut,0.0
mie,ˈmie̯,ˈmie̯,0.0
mela,ˈmelɑ,ˈmelɑ,0.0
mykrä,ˈmykræ,ˈmykræ,0.0
muamygrä,ˈmuɑ̯ˌmyɡræ,ˈmuɑ̯ˌmyɡræ,0.0
mygrä,ˈmyɡræ,ˈmyɡræ,0.0
mušta,ˈmuʃtɑ,ˈmuʃtɑ,0.0
naine,ˈnɑi̯nʲe,ˈnɑi̯nʲe,0.0
niken,ˈnʲiken,ˈnʲiken,0.0
nimi,ˈnʲimi,ˈnʲimi,0.0
niädä,ˈnʲiæ̯dæ,ˈnʲiæ̯dæ,0.0
niätä,ˈnʲiæ̯tæ,ˈnʲiæ̯tʲæ,12.0
nyköiskarjalaini,ˈnʲykøi̯sˌkɑrjɑˌlɑi̯nʲi,ˈnʲykøi̯sˌkɑrjɑˌlɑi̯nʲi,0.0
oktʹabrʹa,ˈoktʲɑbrʲɑ,ˈoktʲɑbrʲɑ,0.0
osra,ˈosrɑ,ˈosrɑ,0.0
painajaini,ˈpɑi̯nɑjɑi̯nʲi,ˈpɑi̯nɑjɑi̯nʲi,0.0
nʹonʹnʹo,ˈnʲonʲːo,ˈnʲonʲːo,0.0
pakkaiskuu,ˈpɑkːɑi̯sˌkuː,ˈpɑkːɑi̯sˌkuː,0.0
pakkani,ˈpɑkːɑnʲi,ˈpɑkːɑnʲi,0.0
palokärki,ˈpɑloˌkærki,ˈpɑloˌkærki,0.0
pakkane,ˈpɑkːɑne,ˈpɑkːɑne,0.0
peldohiiri,ˈpeldoˌhiːrʲi,ˈpeldoˌhiːrʲi,0.0
pavarča,ˈpɑʋɑrt͡ʃɑ,ˈpɑʋɑrt͡ʃɑ,0.0
pillu,ˈpilːu,ˈpilːu,0.0
palava,ˈpɑlɑʋɑ,ˈpɑlɑʋɑ,0.0
pimie,ˈpimie̯,ˈpimie̯,0.0
petra,ˈpetrɑ,ˈpetrɑ,0.0
piässä,ˈpiæ̯sʲːæ,ˈpiæ̯sʲːæ,0.0
piä,ˈpiæ̯,ˈpiæ̯,0.0
pokko,ˈpokːo,ˈpokːo,0.0
purgu,ˈpurɡu,ˈpurɡu,0.0
päivä,ˈpæi̯ʋæ,ˈpæi̯ʋæ,0.0
rikaš,ˈrikɑʃ,ˈrikɑʃ,0.0
pränä,ˈprænʲæ,ˈprænʲæ,0.0
porraš,ˈporːɑʃ,ˈporːɑʃ,0.0
ružja,ˈruʒjɑ,ˈruʒjɑ,0.0
rotta,ˈrotːɑ,ˈrotːɑ,0.0
sakona,ˈsɑkonɑ,ˈsɑkonɑ,0.0
šajekuu,ˈʃɑjeˌkuː,ˈʃɑjeˌkuː,0.0
rikaškäsini,ˈrikɑʃˌkæsʲinʲi,ˈrikɑʃˌkæsʲinʲi,0.0
smeja,ˈsmejɑ,ˈsmejɑ,0.0
šie,ˈʃie̯,ˈʃie̯,0.0
šeinä,ˈʃei̯nʲæ,ˈʃei̯nʲæ,0.0
šanakirja,ˈʃɑnɑˌkirjɑ,ˈʃɑnɑˌkirjɑ,0.0
šuuri,ˈʃuːri,ˈʃuːri,0.0
šinini,ˈʃinʲinʲi,ˈʃinʲinʲi,0.0
šygyžkuu,ˈʃyɡyʃˌkuː,ˈʃyɡyʃˌkuː,0.0
šykšy,ˈʃykʃy,ˈʃykʃy,0.0
šuuruš,ˈʃuːruʃ,ˈʃuːruʃ,0.0
šyyš-,ˈʃyːʃ-,ˈʃyːʃ,17.0
zmeja,ˈzmejɑ,ˈzmejɑ,0.0
žiivatta,ˈʒiːʋɑtːɑ,ˈʒiːʋɑtːɑ,0.0
zirkalo,ˈzʲirkɑlo,ˈzʲirkɑlo,0.0
tosi,ˈtosʲi,ˈtosʲi,0.0
tikka,ˈtʲikːɑ,ˈtʲikːɑ,0.0
toine,ˈtoi̯nʲe,ˈtoi̯nʲe,0.0
tuisku,ˈtui̯sku,ˈtui̯sku,0.0
toži,ˈtoʒi,ˈtoʒi,0.0
tytär,ˈtʲytʲær,ˈtʲytʲær,0.0
tämä,ˈtʲæmæ,ˈtʲæmæ,0.0
toini,ˈtoi̯nʲi,ˈtoi̯nʲi,0.0
tuo,ˈtuo̯,ˈtuo̯,0.0
vaihto,ˈʋɑi̯hto,ˈʋɑi̯hto,0.0
tuulikuu,ˈtuːlʲiˌkuː,ˈtuːlʲiˌkuː,0.0
uuni,ˈuːnʲi,ˈuːnʲi,0.0
veičči,ˈʋei̯t͡ʃːi,ˈʋei̯t͡ʃːi,0.0
valehičča,ˈʋɑlehit͡ʃːɑ,ˈʋɑlehit͡ʃːɑ,0.0
veniälä,ˈʋenʲiæ̯lʲæ,ˈʋenʲiæ̯lʲæ,0.0
veri,ˈʋerʲi,ˈʋerʲi,0.0
velli,ˈʋelʲːi,ˈʋelʲːi,0.0
vihma,ˈʋihmɑ,ˈʋihmɑ,0.0
verkko,ˈʋerkːo,ˈʋerkːo,0.0
vezi,ˈʋezʲi,ˈʋezʲi,0.0
vesikorento,ˈʋesʲiˌkorento,ˈʋesʲiˌkorento,0.0
vuojeh,ˈʋuo̯jeh,ˈʋuo̯jeh,0.0
vilu,ˈʋilu,ˈʋilu,0.0
viijes,ˈʋiːjes,ˈʋiːjes,0.0
viisi,ˈʋiːsʲi,ˈʋiːsʲi,0.0
vägevä,ˈʋæɡeʋæ,ˈʋæɡeʋæ,0.0
yksitoisʹtʹa,ˈyksʲiˌtoi̯sʲtʲɑ,ˈyksʲiˌtoi̯sʲtʲɑ,0.0
vuosi,ˈʋuo̯sʲi,ˈʋuo̯sʲi,0.0
yskä,ˈysʲkæ,ˈysʲkæ,0.0
vägövä,ˈʋæɡøʋæ,ˈʋæɡøʋæ,0.0
yškä,ˈyʃkæ,ˈyʃkæ,0.0
värčči,ˈʋært͡ʃːi,ˈʋært͡ʃːi,0.0
myö,ˈmyø̯,ˈmyø̯,0.0
kakši,ˈkɑkʃi,ˈkɑkʃi,0.0
mussikka,ˈmusʲːikːɑ,ˈmusʲːikːɑ,0.0
männä,ˈmænːæ,ˈmænːæ,0.0
kipu,ˈkipu,ˈkipu,0.0
nuori,ˈnuo̯ri,ˈnuo̯ri,0.0
peldo,ˈpeldo,ˈpeldo,0.0
noita,ˈnoi̯tɑ,ˈnoi̯tɑ,0.0
pelto,ˈpelto,ˈpelto,0.0
pimiekuu,ˈpimie̯ˌkuː,ˈpimie̯ˌkuː,0.0
sinine,ˈsʲinʲinʲe,ˈsʲinʲinʲe,0.0
rašvakatti,ˈrɑʃʋɑˌkɑtʲːi,ˈrɑʃʋɑˌkɑtʲːi,0.0
priha,ˈprihɑ,ˈprihɑ,0.0
šija,ˈʃijɑ,ˈʃijɑ,0.0
šiivatta,ˈʃiːʋɑtːɑ,ˈʃiːʋɑtːɑ,0.0
ryžä,ˈryʒæ,ˈryʒæ,0.0
širkkalo,ˈʃirkːɑlo,ˈʃirkːɑlo,0.0
toini toisen,ˈtoi̯nʲi ˌtoi̯sen,ˈtoi̯nʲi ˌtoi̯sen,0.0
vanhembi,ˈʋɑnhembi,ˈʋɑnhembi,0.0
tuatto,ˈtuɑ̯tːo,ˈtuɑ̯tːo,0.0
valehella,ˈʋɑlehelːɑ,ˈʋɑlehelːɑ,0.0
viizi,ˈʋiːzʲi,ˈʋiːzʲi,0.0
vuoži,ˈʋuo̯ʒi,ˈʋuo̯ʒi,0.0
